Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
add review,Chrome 70.0.3538.102,,2018-11-27 21:13:49,2018-11-27 21:15:58,2m - 8.594s,FAILED
,,,,,,
Test Cases/InProgress/Login,Chrome 70.0.3538.102,,2018-11-27 21:13:50,2018-11-27 21:15:24,1m - 33.675s,FAILED
openBrowser,Chrome 70.0.3538.102,,2018-11-27 21:13:50,2018-11-27 21:13:58,7.870s,PASSED
maximizeWindow,Chrome 70.0.3538.102,,2018-11-27 21:13:58,2018-11-27 21:14:00,1.171s,PASSED
navigateToUrl,Chrome 70.0.3538.102,,2018-11-27 21:14:00,2018-11-27 21:15:17,1m - 17.179s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-27 21:15:17,2018-11-27 21:15:22,5.046s,PASSED
click,Chrome 70.0.3538.102,,2018-11-27 21:15:22,2018-11-27 21:15:22,0.556s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-27 21:15:22,2018-11-27 21:15:24,1.359s,FAILED
,,,,,,
Test Cases/InProgress/add review,Chrome 70.0.3538.102,,2018-11-27 21:15:24,2018-11-27 21:15:57,32.832s,FAILED
click,Chrome 70.0.3538.102,,2018-11-27 21:15:24,2018-11-27 21:15:57,32.441s,FAILED
